date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:34	639/639	U-----	200	untouched ('')	image/gif	etag:%2220ad5682-27f-4f99d3a2c3500%22	http://www.abcphil.de/assets/images/autogen/Zitate-Pascal_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Zitate-Pascal_NRp2.gif	(from http://www.abcphil.de/)
13:53:35	535/535	U-----	200	untouched ('')	image/gif	etag:%2223c88226-217-4f99d3a693e00%22	http://www.abcphil.de/assets/images/autogen/Plato_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Plato_Np1.gif	(from http://www.abcphil.de/)
13:53:35	419/419	U-----	200	untouched ('')	image/gif	etag:%22220af133-1a3-4f99d3a693e00%22	http://www.abcphil.de/assets/images/autogen/Plato_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Plato_NRp2.gif	(from http://www.abcphil.de/)
13:53:35	690/690	U-----	200	untouched ('')	image/gif	etag:%2222d6dcc0-2b2-4f99d3a0db080%22	http://www.abcphil.de/assets/images/autogen/H-hlengleichnis_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/H-hlengleichnis_Np1.gif	(from http://www.abcphil.de/)
13:53:35	224485/224485	U-----	200	untouched ('OK')	text/html	etag:%2221a11405-36ce5-502023233d0c0%22	http://www.abcphil.de/html/hohlengleichnis.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/hohlengleichnis.html	(from http://www.abcphil.de/)
13:53:36	52/52	U-----	200	untouched ('OK')	text/plain	etag:%22236b689f-34-4ef3be5f525c0%22	http://textea.phil-splitter.com/robots.txt		(from http://www.abcphil.de/)
13:53:36	669/669	U-----	200	untouched ('')	image/gif	etag:%2222d6dcbf-29d-4f99d3a0db080%22	http://www.abcphil.de/assets/images/autogen/H-hlengleichnis_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/H-hlengleichnis_NRp2.gif	(from http://www.abcphil.de/)
13:53:36	443/443	U-----	200	untouched ('')	image/gif	etag:%2223c8822d-1bb-4f99d39fe6e40%22	http://www.abcphil.de/assets/images/autogen/Plotin_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Plotin_Np1.gif	(from http://www.abcphil.de/)
13:53:36	419/419	U-----	200	untouched ('')	image/gif	etag:%2223c8822c-1a3-4f99d3a0db080%22	http://www.abcphil.de/assets/images/autogen/Plotin_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Plotin_NRp2.gif	(from http://www.abcphil.de/)
13:53:36	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202020%2012:53:29%20GMT	http://texte.phil-splitter.com/html/hegels_subjektive_logik_begrif.html	B:/Phil%20Splitter/Phil%20Splitter/texte.phil-splitter.com/html/hegels_subjektive_logik_begrif.cb.delayed	(from http://textea.phil-splitter.com/)
13:53:37	214080/214080	U-----	200	untouched ('OK')	text/html	etag:%2223a1dadd-34440-50202364169c0%22	http://www.abcphil.de/html/hegel-_plotin.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/hegel-_plotin.html	(from http://www.abcphil.de/)
13:53:37	624/624	U-----	200	untouched ('')	image/gif	etag:%222762fc75-270-4f99d3a0db080%22	http://www.abcphil.de/assets/images/autogen/Hegel--Plotin_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Hegel--Plotin_Np1.gif	(from http://www.abcphil.de/)
13:53:37	614/614	U-----	200	untouched ('')	image/gif	etag:%222762fc74-266-4f99d3a0db080%22	http://www.abcphil.de/assets/images/autogen/Hegel--Plotin_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Hegel--Plotin_NRp2.gif	(from http://www.abcphil.de/)
