date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:51	80465/80465	---M--	200	added ('OK')	image/gif	etag:%22234ce260-13a51-4f858852d6d80%22	http://www.abcphil.de/assets/images/autogen/hitler-plakat.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/hitler-plakat.gif	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:52	1752/1752	U-----	200	untouched ('')	image/gif	etag:%2222602d3d-6d8-4ef3c094d9c00%22	http://textea.phil-splitter.com/assets/images/autogen/theatralische-Kunst_NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/theatralische-Kunst_NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:52	0/-1	---M--	302	error ('')			http://www.google.com/cse/style/look/default.css	B:/Phil%20Splitter/Phil%20Splitter/www.google.com/cse/style/look/default.21d.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:52	105987/105987	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2018:36:20%20GMT	https://www.dhm.de/lemo/kapitel/ns-regime/ns-organisationen/jugend	B:/Phil%20Splitter/Phil%20Splitter/www.dhm.de/lemo/kapitel/ns-regime/ns-organisationen/jugend.html	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:52	156769/156769	U-----	200	untouched ('OK')	text/html	etag:%222560fc2c-26461-50206e692e840%22	http://textea.phil-splitter.com/html/_dramatische_poesie_.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/_dramatische_poesie_.html	(from http://textea.phil-splitter.com/)
19:36:52	1701/1701	U-----	200	untouched ('')	image/gif	etag:%22233fcf90-6a5-4ef3c091fd540%22	http://textea.phil-splitter.com/assets/images/autogen/-dramatische-Poesie-_Nregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-dramatische-Poesie-_Nregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:52	0/-1	---M--	301	error ('')			https://cse.google.com/cse/style/look/default.css	B:/Phil%20Splitter/Phil%20Splitter/cse.google.com/cse/style/look/default.21e.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:52	166035/166035	U-----	200	untouched ('OK')	text/html	etag:%222560fc3a-28893-50206ec798700%22	http://textea.phil-splitter.com/html/_prinzip_der_tragodie-_komodie_und_des_dramas.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/_prinzip_der_tragodie-_komodie_und_des_dramas.html	(from http://textea.phil-splitter.com/)
19:36:52	1707/1707	U-----	200	untouched ('')	image/gif	etag:%22233fcf8f-6ab-4ef3c092f1780%22	http://textea.phil-splitter.com/assets/images/autogen/-dramatische-Poesie-_NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-dramatische-Poesie-_NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:53	1913/1913	U-----	200	untouched ('')	image/gif	etag:%22233fcf84-779-4ef3c08f20e80%22	http://textea.phil-splitter.com/assets/images/autogen/-Prinzip-der-Trag-die--Kom-dieNregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-Prinzip-der-Trag-die--Kom-dieNregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:53	1955/1955	U-----	200	untouched ('')	image/gif	etag:%22233fcf83-7a3-4ef3c090150c0%22	http://textea.phil-splitter.com/assets/images/autogen/-Prinzip-der-Trag-die--Kom-dieNRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-Prinzip-der-Trag-die--Kom-dieNRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
